#SampleID	ERR2985255	ERR2985256	ERR2985257	ERR2985258	ERR2985259	ERR2985260	ERR2985261	ERR2985262	ERR2985263	ERR2985264	ERR2985265	ERR2985266	ERR2985267	ERR2985268	ERR2985269	ERR2985270	ERR2985271	ERR2985272	ERR2985273	ERR2985274	ERR2985275	ERR2985276	ERR2985277	ERR2985278
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Iamia	6.0	2.0	5.0	3.0	2.0	5.0	2.0	5.0	2.0	1.0	8.0	4.0	17.0	2.0	0	5.0	2.0	7.0	7.0	23.0	0	7.0	1.0	1.0
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Microthrixaceae;g__Candidatus_Microthrix	16.0	9.0	3.0	14.0	15.0	82.0	12.0	14.0	44.0	8.0	68.0	46.0	58.0	13.0	35.0	2.0	13.0	2.0	0	72.0	3.0	14.0	33.0	2.0
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Microthrixaceae;g__Candidatus_Microthrix;s__Candidatus_Microthrix_parvicella	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	1.0	0	0	0	0	0	0	3.0	1.0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria	59.0	219.0	23.0	64.0	73.0	34.0	153.0	250.0	83.0	73.0	35.0	99.0	61.0	60.0	19.0	25.0	44.0	17.0	17.0	63.0	168.0	134.0	29.0	200.0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__;f__;g__;s__Actinobacteria_bacterium_IMCC26207	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Acidothermales;f__Acidothermaceae;g__Acidothermus	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	0	0	0	1.0	0	0	0	0	0	0	1.0	1.0	1.0	0	0	0	0	0	0	1.0	1.0	0	0	2.0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	3.0	0	0	1.0	0	2.0	0	0	0	0	2.0	0	6.0	2.0	0	0	1.0	0	0	6.0	6.0	1.0	0	5.0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	0	0	0	2.0	0	2.0	1.0	1.0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	1.0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	0	1.0	1.0	2.0	0	0	1.0	1.0	0	1.0	0	2.0	0	1.0	1.0	0	1.0	3.0	0	2.0	1.0	0	0	1.0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	17.0	14.0	6.0	20.0	7.0	9.0	15.0	13.0	9.0	8.0	10.0	7.0	11.0	24.0	7.0	7.0	16.0	37.0	35.0	11.0	14.0	17.0	8.0	14.0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella	0	0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales	0	2.0	1.0	0	11.0	12.0	2.0	2.0	25.0	6.0	7.0	32.0	0	0	0	2.0	0	0	0	5.0	1.0	1.0	0	7.0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	1.0	0	1.0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Gordoniaceae	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Gordoniaceae;g__Gordonia	0	0	0	0	0	2.0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Gordoniaceae;g__Gordonia;s__Gordonia_jinhuaensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae	0	1.0	0	0	1.0	0	0	3.0	6.0	0	0	1.0	1.0	0	1.0	1.0	0	0	0	0	0	0	0	0
