#SampleID	ERR2985255	ERR2985256	ERR2985257	ERR2985258	ERR2985259	ERR2985260	ERR2985261	ERR2985262	ERR2985263	ERR2985264	ERR2985265	ERR2985266	ERR2985267	ERR2985268	ERR2985269	ERR2985270	ERR2985271	ERR2985272	ERR2985273	ERR2985274	ERR2985275	ERR2985276	ERR2985277	ERR2985278
sk__Bacteria;k__;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Geothrix;s__Geothrix_fermentans	11.0	0	0	0	0	0	0	0	8.0	0	0	16.0	16.0	16.0	13.0	0	0	13.0	7.0	19.0	0	0	15.0	1.0
sk__Bacteria;k__;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Holophaga	3.0	0	0	0	0	0	0	0	1.0	0	0	3.0	1.0	0	4.0	0	0	1.0	0	1.0	1.0	0	0	1.0
sk__Bacteria;k__;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Holophaga;s__Holophaga_foetida	2.0	0	0	0	0	0	0	0	4.0	0	0	0	3.0	3.0	10.0	0	0	1.0	2.0	3.0	1.0	0	8.0	0
sk__Bacteria;k__;p__Acidobacteria;c__Solibacteres;o__Solibacterales	1.0	2.0	0	0	0	0	0	1.0	0	0	2.0	3.0	0	0	3.0	0	0	1.0	0	1.0	1.0	2.0	4.0	0
sk__Bacteria;k__;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Bryobacteraceae	0	0	0	0	0	0	2.0	0	1.0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Bryobacteraceae;g__Bryobacter	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria	108.0	102.0	19.0	57.0	16.0	33.0	46.0	82.0	83.0	13.0	29.0	106.0	35.0	122.0	17.0	18.0	37.0	3.0	4.0	51.0	19.0	63.0	21.0	24.0
sk__Bacteria;k__;p__Actinobacteria;c__;o__;f__;g__;s__Actinobacteria_bacterium_IMCC19121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__;o__;f__;g__;s__Actinobacteria_bacterium_IMCC26103	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia	28.0	41.0	28.0	29.0	2.0	32.0	97.0	56.0	44.0	5.0	30.0	42.0	118.0	26.0	10.0	29.0	24.0	6.0	9.0	128.0	7.0	104.0	8.0	7.0
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales	3.0	2.0	1.0	5.0	1.0	1.0	5.0	4.0	6.0	0	2.0	4.0	9.0	4.0	3.0	1.0	2.0	0	1.0	11.0	1.0	7.0	3.0	1.0
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae	11.0	10.0	3.0	3.0	4.0	5.0	11.0	6.0	7.0	3.0	3.0	6.0	29.0	6.0	4.0	2.0	9.0	1.0	1.0	28.0	1.0	4.0	3.0	1.0
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Acidithrix	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Ilumatobacter	7.0	7.0	0	3.0	2.0	1.0	7.0	2.0	10.0	0	1.0	15.0	45.0	13.0	6.0	3.0	2.0	4.0	2.0	52.0	4.0	12.0	4.0	5.0
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Ilumatobacter;s__Ilumatobacter_nonamiensis	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Microthrixaceae	0	2.0	2.0	0	1.0	3.0	5.0	0	3.0	0	1.0	2.0	3.0	2.0	1.0	0	1.0	0	0	4.0	1.0	3.0	1.0	0
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Microthrixaceae;g__Candidatus_Microthrix	0	2.0	1.0	1.0	0	6.0	0	2.0	10.0	1.0	8.0	6.0	19.0	3.0	5.0	1.0	2.0	0	0	18.0	0	2.0	3.0	0
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Microthrixaceae;g__Candidatus_Microthrix;s__Candidatus_Microthrix_parvicella	44.0	29.0	3.0	18.0	25.0	183.0	33.0	37.0	93.0	23.0	168.0	116.0	204.0	46.0	74.0	4.0	13.0	0	0	231.0	0	36.0	88.0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria	221.0	414.0	45.0	125.0	94.0	77.0	321.0	441.0	159.0	101.0	76.0	187.0	117.0	228.0	89.0	40.0	146.0	36.0	30.0	105.0	278.0	361.0	71.0	317.0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__;f__;g__;s__Actinobacteria_bacterium_DSM_45722	1.0	2.0	1.0	0	0	0	0	0	0	1.0	1.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__;f__;g__;s__Actinobacteria_bacterium_IMCC26207	1.0	8.0	5.0	2.0	2.0	0	16.0	4.0	1.0	1.0	0	0	0	0	0	5.0	1.0	0	1.0	5.0	1.0	18.0	0	1.0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__;f__;g__;s__Actinobacteria_bacterium_IMCC26256	0	0	0	1.0	0	0	0	4.0	0	0	1.0	2.0	0	1.0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__;f__;g__;s__actinobacterium_LLX17	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Acidothermales	0	0	0	0	2.0	0	0	0	1.0	0	0	0	0	4.0	0	1.0	0	0	0	0	0	1.0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	1.0	4.0	0	2.0	0	2.0	2.0	5.0	0	0	0	3.0	2.0	2.0	0	1.0	1.0	2.0	0	0	1.0	0	1.0	1.0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	0	2.0	0	0	0	0	1.0	3.0	0	0	1.0	0	0	1.0	0	0	1.0	1.0	1.0	3.0	0	2.0	2.0	2.0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	1.0	0	0	2.0	0
